Item_id,name
147,birla-institute-of-technology-ranchi
148,birla-institute-of-technology-ranchi
149,bishop-ambrose-college-coimbatore
150,bishop-calldowell-college-tuticorin
151,bishop-heber-college-tiruchirappalli
152,bishop-heber-college-trichy
153,bishop-thorp-college-erode
154,b-k-r-college-of-engineering-and-technology
155,bms-college-of-architecture-bengaluru
156,b-m-s-college-of-engineering-bengaluru
157,bms-institute-of-technology-and-management-bengaluru
158,bnm-institute-of-technology-bengaluru
159,bon-secours-college-for-women-thanjavur
160,b-padmanabhan-jayanthimala-arts-and-science-college-cuddalore
161,b-s-abdur-rahman-crescent-institute-of-science-and-technology-chennai
162,bvrit-hyderabad
163,c-abdul-hakeem-college-of-engineering-&-technology
164,c-abdul-hakkim-college-vellore
165,calcutta-university-kolkata
166,calcutta-university-kolkata
167,calicut-university-malappuram
168,calicut-university-malappuram
169,cambridge-college-of-arts-and-science-karur
170,caussanel-college-of-arts-and-science-ramanathapuram-ramnad
171,cauveri-college-for-women-trichy
172,cbm-college-coimbatore
173,central-university-of-punjab-bathinda
174,chaitanya-bharathi-institute-of-technology-hyderabad
175,chandigarh-university-mohali
176,chandigarh-university-mohali
177,chaudhary-charan-singh-haryana-agricultural-university-hisar
178,chaudhary-charan-singh-haryana-agricultural-university-hisar
179,chellammal-women's-college-of-the-pachaiyappa's-trust-chennai
180,chennai-institute-of-technology
181,chennai-national-college-arts-and-science-chennai
182,cheraan's-arts-science-college-erode
183,cherran-college-for-women-tirupur
184,chettinad-college-of-arts-and-science-trichy
185,chevaliar-t-thomas-elizabeth-college-for-women-chennai
186,chidambaram-pillai-college-of-women-trichy
187,chikkaiah-naiacker-college-erode
188,chikkanna-government-arts-college-tiruppur-coimbatore
189,chitkara-university-rajpura
190,christ-college-thrissur
191,christhu-raj-college-trichy
192,c-kandasami-naidu-college-for-men-chennai
193,c-kandasamy-naidu-college-for-women-cudalore-cuddalore
194,c-m-r-institute-of-technology-bengaluru
195,cms-college-of-science-and-commerce-coimbatore
196,cms-college-of-science-and-commerce-coimbatore
197,cochin-university-of-science-and-technology-cochin
198,cochin-university-of-science-and-technology-cochin
199,coimbatore-institute-of-technology-coimbatore
200,college-of-engineering-pune
201,college-of-engineering-pune
202,college-of-engineering-thiruvananthapuram
203,college-of-engineering-thiruvananthapuram
204,college-of-engineering-visakhapatnam
205,college-of-engineering-visakhapatnam
206,communication-technology-gandhinagar
207,cpa-college-theni
208,csi-bishop-appasamy-college-of-arts-and-science-coimbatore
209,csi-college-of-engineering-ketti
210,csi-darling-selvabai-thavaraj-david-college-of-arts-and-science-for-women-madurai
211,csi-edward-women's-christian-college-kanchipuram
212,csi-jeyaraj-annapackiam-college-nallur-tirunelveli
213,ctm-college-of-arts-and-science-chennai
214,c-v-raman-college-of-engineering-bhubaneswar
215,cvr-college-of-engineering-ibrahimpatan
216,danapackiyam-krishnasamy-mudaliar-college-for-women-vellore
217,datta-meghe-institute-of-medical-sciences-wardha
218,daulat-ram-college-delhi
219,dayalbagh-educational-institute-agra
220,dayalbagh-educational-institute-agra
221,dayananda-sagar-college-of-engineering-bengaluru
222,deen-dayal-upadhyaya-college-new-delhi
223,defence-institute-of-advanced-technology-pune
224,delhi-technological-university-new-delhi
225,delhi-technological-university-new-delhi
226,delhi-technological-university-new-delhi
227,devanga-arts-college-aruppukottai-virudhunagar
228,dg-govt-arts-college-for-women-nagapattinam
229,dhanalakshmi-srinivasan-college-of-arts-and-science-for-women-perambalur
230,dhanraj-baid-jain-college-autonomous-chennai
